,ticker,name,calendardate,sector,industry,revenue,fcfmargin,eps,oppmargin,profitmargin,netmargin,pe,roc,roe
11874,AWK,AMERICAN WATER WORKS COMPANY INC,2018-12-31,Utilities,Utilities - Regulated Water,850000000.0,-0.09411764705882353,0.62,0.37058823529411766,0.13176470588235295,0.5364705882352941,28.912,0.007737478411053541,0.019099590723055934
11868,AWK,AMERICAN WATER WORKS COMPANY INC,2017-06-30,Utilities,Utilities - Regulated Water,844000000.0,-0.11374407582938388,0.74,0.4419431279620853,0.1552132701421801,0.5888625592417062,29.366,0.010197726918885257,0.024331352154531947
11879,AWK,AMERICAN WATER WORKS COMPANY INC,2020-03-31,Utilities,Utilities - Regulated Water,844000000.0,-0.2950236966824645,0.69,0.3744075829383886,0.14691943127962084,0.5462085308056872,34.236,0.007449684589966957,0.019862245715201024
11865,AWK,AMERICAN WATER WORKS COMPANY INC,2022-03-31,Utilities,Utilities - Regulated Water,842000000.0,0.37767220902612825,0.87,0.38004750593824227,0.1876484560570071,0.5676959619952494,23.355,0.008649950728128764,0.021179624664879357
11870,AWK,AMERICAN WATER WORKS COMPANY INC,2017-12-31,Utilities,Utilities - Regulated Water,821000000.0,-0.0730816077953715,0.0,0.4238733252131547,-0.001218026796589525,0.5542021924482339,38.309,-7.627765064836003e-05,-0.00018570102135561745
11875,AWK,AMERICAN WATER WORKS COMPANY INC,2019-03-31,Utilities,Utilities - Regulated Water,813000000.0,-0.1980319803198032,0.62,0.37761377613776137,0.13899138991389914,0.5510455104551045,32.831,0.007599193006052454,0.019049224544841536
11871,AWK,AMERICAN WATER WORKS COMPANY INC,2018-03-31,Utilities,Utilities - Regulated Water,761000000.0,-0.20893561103810776,0.6,0.3771353482260184,0.1392904073587385,0.5440210249671484,33.404,0.007876356070738595,0.019445973215923684
11867,AWK,AMERICAN WATER WORKS COMPANY INC,2017-03-31,Utilities,Utilities - Regulated Water,756000000.0,-0.007936507936507936,0.52,0.3941798941798942,0.12301587301587301,0.5582010582010583,28.935,0.007384468794664126,0.01759031586911292
111811,UGI,UGI CORP,2022-03-31,Utilities,Utilities - Regulated Gas,3466000000.0,0.2380265435660704,4.44,0.38430467397576457,0.26918638199653777,0.5758799769186382,5.029,0.0702771919252787,0.15048387096774193
111796,UGI,UGI CORP,2018-03-31,Utilities,Utilities - Regulated Gas,2812000000.0,0.1527027027027027,1.59,0.21017069701280228,0.09815078236130868,0.44516358463726885,12.24,0.03281885419391662,0.07312614259597806
111810,UGI,UGI CORP,2021-12-31,Utilities,Utilities - Regulated Gas,2673000000.0,-0.29180695847362514,-0.46,-0.02543958099513655,-0.036288814066591846,0.20688365132809577,9.002,-0.007727236517167211,-0.018134230697326604
111800,UGI,UGI CORP,2019-03-31,Utilities,Utilities - Regulated Gas,2606100000.0,0.13955719274010975,1.41,0.2067457119834235,0.09416369287441004,0.45247688116342427,24.915,0.02872426345791439,0.06369063067739424
111807,UGI,UGI CORP,2021-03-31,Utilities,Utilities - Regulated Gas,2581000000.0,0.14645486245641223,2.34,0.2599767531964355,0.18946144905075551,0.5063928709802402,9.653,0.04346280330637277,0.10147333471674622
111804,UGI,UGI CORP,2020-03-31,Utilities,Utilities - Regulated Gas,2229000000.0,0.12741139524450426,1.08,0.16240466576940332,0.10139075818752805,0.44010767160161507,14.469,0.020823735372708006,0.055378583680470474
111799,UGI,UGI CORP,2018-12-31,Utilities,Utilities - Regulated Gas,2200200000.0,-0.03940550859012817,0.37,0.0762203436051268,0.029179165530406326,0.35233160621761656,22.226,0.007467113297742419,0.017496048400283425
111792,UGI,UGI CORP,2017-03-31,Utilities,Utilities - Regulated Gas,2173800000.0,0.1443095040942129,1.27,0.2360842763823719,0.10115926028153464,0.5072223755635293,18.273,0.02962733421357549,0.06947428282572982
111795,UGI,UGI CORP,2017-12-31,Utilities,Utilities - Regulated Gas,2125200000.0,-0.054630152456239416,2.11,0.18586485977790326,0.17217203086768304,0.4648033126293996,14.217,0.0434395479152816,0.10449210383528
111814,UGI,UGI CORP,2022-06-30,Utilities,Utilities - Regulated Gas,2033000000.0,0.12395474667978357,-0.03,0.04869650762420069,-0.003443187407771766,0.3305459911460895,5.988,-0.0005450864351347142,-0.0011674449633088727
111803,UGI,UGI CORP,2019-12-31,Utilities,Utilities - Regulated Gas,2007000000.0,-0.03188839063278525,1.01,0.1878425510712506,0.10563029397110114,0.4977578475336323,23.375,0.01948171292041904,0.05305305305305305
111812,UGI,UGI CORP,2022-09-30,Utilities,Utilities - Regulated Gas,1934000000.0,-0.19906928645294725,1.16,0.15667011375387796,0.12616339193381593,0.47156153050672184,6.309,0.018401206636500755,0.040224200461589185
